Date,Open,High,Low,Close,Adj Close,Volume
2023-01-22,1496101074,1527923340,1483292969,1498832886,1498832886,6919880104
2023-01-23,1498988159,1506395386,1480306274,1497730469,1497730469,7602024464
2023-01-24,1497359985,1507022583,1425215332,1429401611,1429401611,7511799003
2023-01-25,1429588257,1495562622,1405549561,1475797119,1475797119,9705172616
2023-01-26,1475220093,1490145630,1459927368,1471635254,1471635254,7706815438
2023-01-27,1471611450,1487314209,1437488159,1470041870,1470041870,7473175731
2023-01-28,1470013306,1475793457,1439770630,1446250244,1446250244,5337921783
2023-01-29,1446429077,1521688354,1443076904,1514135498,1514135498,8095437459
2023-01-30,1514128296,1514781128,1425657837,1444487305,1444487305,8460902850
2023-01-31,1444573364,1472095581,1440456177,1460807251,1460807251,6063334386
2023-02-01,1460763672,1492827026,1436748657,1490803589,1490803589,7370484273
2023-02-02,1490416138,1560774048,1490038574,1506913330,1506913330,9682150989
2023-02-03,1506604370,1542412354,1500011108,1540638794,1540638794,7560482103
2023-02-04,1540385864,1563257690,1525316650,1541946411,1541946411,5404762658
2023-02-05,1542045654,1544150635,1498671631,1512284424,1512284424,6419980973
2023-02-06,1512283936,1540516968,1502297241,1506400513,1506400513,6449569713
2023-02-07,1506179199,1560213989,1504950562,1558155151,1558155151,7483487813
2023-02-08,1558063599,1573504761,1525120117,1540508301,1540508301,7284923814
2023-02-09,1540849365,1543666992,1431304199,1439964478,1439964478,9800314475
2023-02-10,1440111816,1446646484,1409488159,1417288818,1417288818,7856470156
2023-02-11,1417356934,1442049683,1412870850,1440732422,1440732422,4737809378
2023-02-12,1440591309,1444399292,1405856445,1418913940,1418913940,4982195806
2023-02-13,1418804688,1426948853,1372182129,1404509888,1404509888,8726064214
2023-02-14,1404347900,1451131348,1395271362,1450208984,1450208984,8615858910
2023-02-15,1450106445,1565986694,1441307739,1565484741,1565484741,9367242652
2023-02-16,1565598389,1622998657,1535854736,1537720825,1537720825,11912027488
2023-02-17,1537920044,1604849365,1534511719,1581475220,1581475220,9147081217
2023-02-18,1581436401,1591293823,1571101685,1578706055,1578706055,5124285196
2023-02-19,1578576172,1604020508,1566667725,1573782227,1573782227,6513584808
2023-02-20,1574625366,1606071045,1554032715,1593908203,1593908203,7211497999
2023-02-21,1594023071,1606926758,1542066040,1556630859,1556630859,8188194641
2023-02-22,1556729004,1561897339,1510692749,1549408081,1549408081,8664700575
2023-02-23,1549471191,1576449829,1539135986,1557974731,1557974731,8505006820
2023-02-24,1557806030,1566108521,1501447998,1519525024,1519525024,8416980204
2023-02-25,1519794434,1519989868,1482744385,1508550293,1508550293,5351322525
2023-02-26,1508404785,1558745239,1504273315,1554762817,1554762817,5427558452
2023-02-27,1554712158,1570673462,1523173462,1540434326,1540434326,6823896750
2023-02-28,1540600220,1551454468,1514861816,1518340088,1518340088,5978903766
2023-03-01,1518477417,1559177979,1515410889,1559177979,1559177979,7219133949
2023-03-02,1559286133,1566812134,1530975098,1554311646,1554311646,6681160437
2023-03-03,1554536621,1555598633,1460035645,1474573486,1474573486,9324097793
2023-03-04,1474677368,1480653076,1458193481,1472465088,1472465088,4124460545
2023-03-05,1472705078,1488708008,1465915283,1472329346,1472329346,4725181143
2023-03-06,1472248779,1478848145,1463150757,1466702759,1466702759,4908183713
2023-03-07,1466727051,1477716919,1456477783,1480737549,1480737549,6497756980
2023-03-08,1480780029,1486953247,1454235840,1454235840,1454235840,6759179717
2023-03-09,1454182251,1464378418,1345338135,1359015015,1359015015,8934298915
2023-03-10,1454182251,1464518921,1345338135,1359015015,1359015015,8934298915
2023-03-11,1359109009,1359109009,1301583008,1341113403,1341113403,11884942937
2023-03-12,1341059570,1394014282,1340705200,1392586182,1392586182,14011255378
2023-03-13,1392412720,1502568726,1372856079,1488825928,1488825928,10748433623
2023-03-14,1489329834,1583890991,1473255615,1567009155,1567009155,14652076030
2023-03-15,1566996338,1659417480,1557310425,1588099609,1588099609,15065004599
2023-03-16,1589668457,1603400391,1532526855,1565136963,1565136963,12016352240
2023-03-17,1565280151,1594772949,1547864624,1580237183,1580237183,8823487648
2023-03-18,1580313721,1673479858,1570864990,1667100830,1667100830,11595347331
2023-03-19,1668130615,1709370117,1625226196,1634874756,1634874756,9575258866
2023-03-20,1636084473,1723992432,1636084473,1671774658,1671774658,8586088652
2023-03-21,1671624634,1695291870,1612180908,1618959351,1618959351,10242173890
2023-03-22,1619236084,1703912354,1610365112,1677089478,1677089478,9986481033
2023-03-23,1675415283,1687615723,1581168457,1598786499,1598786499,11485999481
2023-03-24,1598256470,1700291504,1591462402,1676462036,1676462036,10164483836
2023-03-25,1675921753,1680844849,1607608887,1625810059,1625810059,10127339504
2023-03-26,1625276123,1635673828,1592967285,1618126587,1618126587,6137748883
2023-03-27,1618198242,1667469238,1615730591,1647536865,1647536865,6485864338
2023-03-28,1647355469,1654723145,1568375122,1587459961,1587459961,7945116381
2023-03-29,1587336548,1651022705,1574044922,1635524170,1635524170,7700615387
2023-03-30,1635629639,1685009644,1635629639,1653640869,1653640869,8426067599
2023-03-31,1653958130,1686791626,1621102173,1644042114,1644042114,8917918033
2023-04-01,1644851807,1695046387,1636735474,1676579224,1676579224,8419030524
2023-04-02,1676286743,1693281250,1666545898,1669069092,1669069092,5112900496
